DATE,COMNAM,TICKER,RET
20100730,TESLA MOTORS INC,TSLA,-0.163240
20100831,TESLA MOTORS INC,TSLA,-0.023069
20100930,TESLA MOTORS INC,TSLA,0.047485
20101029,TESLA MOTORS INC,TSLA,0.070326
20101130,TESLA MOTORS INC,TSLA,0.617674
20101231,TESLA MOTORS INC,TSLA,-0.246250
20110131,TESLA MOTORS INC,TSLA,-0.095006
20110228,TESLA MOTORS INC,TSLA,-0.008714
20110331,TESLA MOTORS INC,TSLA,0.161574
20110429,TESLA MOTORS INC,TSLA,-0.005405
20110531,TESLA MOTORS INC,TSLA,0.092029
20110630,TESLA MOTORS INC,TSLA,-0.033510
20110729,TESLA MOTORS INC,TSLA,-0.032956
20110831,TESLA MOTORS INC,TSLA,-0.121761
20110930,TESLA MOTORS INC,TSLA,-0.014147
20111031,TESLA MOTORS INC,TSLA,0.204182
20111130,TESLA MOTORS INC,TSLA,0.114743
20111230,TESLA MOTORS INC,TSLA,-0.127673
20120131,TESLA MOTORS INC,TSLA,0.017857
20120229,TESLA MOTORS INC,TSLA,0.149295
20120330,TESLA MOTORS INC,TSLA,0.114636
20120430,TESLA MOTORS INC,TSLA,-0.110365
20120531,TESLA MOTORS INC,TSLA,-0.109568
20120629,TESLA MOTORS INC,TSLA,0.060678
20120731,TESLA MOTORS INC,TSLA,-0.123682
20120831,TESLA MOTORS INC,TSLA,0.040117
20120928,TESLA MOTORS INC,TSLA,0.026648
20121031,TESLA MOTORS INC,TSLA,-0.039228
20121130,TESLA MOTORS INC,TSLA,0.202215
20121231,TESLA MOTORS INC,TSLA,0.001478
20130131,TESLA MOTORS INC,TSLA,0.107470
20130228,TESLA MOTORS INC,TSLA,-0.071448
20130328,TESLA MOTORS INC,TSLA,0.087855
20130430,TESLA MOTORS INC,TSLA,0.424914
20130531,TESLA MOTORS INC,TSLA,0.810706
20130628,TESLA MOTORS INC,TSLA,0.098200
20130731,TESLA MOTORS INC,TSLA,0.250745
20130830,TESLA MOTORS INC,TSLA,0.258564
20130930,TESLA MOTORS INC,TSLA,0.144201
20131031,TESLA MOTORS INC,TSLA,-0.172881
20131129,TESLA MOTORS INC,TSLA,-0.204202
20131231,TESLA MOTORS INC,TSLA,0.181875
20140131,TESLA MOTORS INC,TSLA,0.205951
20140228,TESLA MOTORS INC,TSLA,0.349485
20140331,TESLA MOTORS INC,TSLA,-0.148523
20140430,TESLA MOTORS INC,TSLA,-0.002686
20140530,TESLA MOTORS INC,TSLA,-0.000577
20140630,TESLA MOTORS INC,TSLA,0.155412
20140731,TESLA MOTORS INC,TSLA,-0.069816
20140829,TESLA MOTORS INC,TSLA,0.207792
20140930,TESLA MOTORS INC,TSLA,-0.100185
20141031,TESLA MOTORS INC,TSLA,-0.004038
20141128,TESLA MOTORS INC,TSLA,0.011667
20141231,TESLA MOTORS INC,TSLA,-0.090422
20150130,TESLA MOTORS INC,TSLA,-0.084574
20150227,TESLA MOTORS INC,TSLA,-0.001277
20150331,TESLA MOTORS INC,TSLA,-0.071653
20150430,TESLA MOTORS INC,TSLA,0.197489
20150529,TESLA MOTORS INC,TSLA,0.109489
20150630,TESLA MOTORS INC,TSLA,0.069617
20150731,TESLA MOTORS INC,TSLA,-0.007866
20150831,TESLA MOTORS INC,TSLA,-0.064212
20150930,TESLA MOTORS INC,TSLA,-0.002650
20151030,TESLA MOTORS INC,TSLA,-0.166948
20151130,TESLA MOTORS INC,TSLA,0.112743
20151231,TESLA MOTORS INC,TSLA,0.042343
20160129,TESLA MOTORS INC,TSLA,-0.203367
20160229,TESLA MOTORS INC,TSLA,0.003818
20160331,TESLA MOTORS INC,TSLA,0.197155
20160429,TESLA MOTORS INC,TSLA,0.047830
20160531,TESLA MOTORS INC,TSLA,-0.072811
20160630,TESLA MOTORS INC,TSLA,-0.049053
20160729,TESLA MOTORS INC,TSLA,0.106039
20160831,TESLA MOTORS INC,TSLA,-0.097023
20160930,TESLA MOTORS INC,TSLA,-0.037640
20161031,TESLA MOTORS INC,TSLA,-0.030878
20161130,TESLA MOTORS INC,TSLA,-0.042128
20161230,TESLA MOTORS INC,TSLA,0.128247
20170131,TESLA MOTORS INC,TSLA,0.178951
20170228,TESLA INC,TSLA,-0.007701
20170331,TESLA INC,TSLA,0.113244
20170428,TESLA INC,TSLA,0.128530
20170531,TESLA INC,TSLA,0.085777
20170630,TESLA INC,TSLA,0.060409
20170731,TESLA INC,TSLA,-0.105473
20170831,TESLA INC,TSLA,0.100257
20170929,TESLA INC,TSLA,-0.041585
20171031,TESLA INC,TSLA,-0.028056
20171130,TESLA INC,TSLA,-0.068410
20171229,TESLA INC,TSLA,0.008095
20180131,TESLA INC,TSLA,0.137980
20180228,TESLA INC,TSLA,-0.031752
20180329,TESLA INC,TSLA,-0.224246
20180430,TESLA INC,TSLA,0.104347
20180531,TESLA INC,TSLA,-0.031201
20180629,TESLA INC,TSLA,0.204474
20180731,TESLA INC,TSLA,-0.130660
20180831,TESLA INC,TSLA,0.011806
20180928,TESLA INC,TSLA,-0.122290
20181031,TESLA INC,TSLA,0.274011
20181130,TESLA INC,TSLA,0.039013
20181231,TESLA INC,TSLA,-0.050445
20190131,TESLA INC,TSLA,-0.077464
20190228,TESLA INC,TSLA,0.041887
20190329,TESLA INC,TSLA,-0.125109
20190430,TESLA INC,TSLA,-0.147109
20190531,TESLA INC,TSLA,-0.224266
20190628,TESLA INC,TSLA,0.206848
20190731,TESLA INC,TSLA,0.081223
20190830,TESLA INC,TSLA,-0.066222
20190930,TESLA INC,TSLA,0.067639
20191031,TESLA INC,TSLA,0.307427
20191129,TESLA INC,TSLA,0.047695
20191231,TESLA INC,TSLA,0.267897
20200131,TESLA INC,TSLA,0.555160
20200228,TESLA INC,TSLA,0.026776
20200331,TESLA INC,TSLA,-0.215557
20200430,TESLA INC,TSLA,0.492137
20200529,TESLA INC,TSLA,0.067939
20200630,TESLA INC,TSLA,0.293186
20200731,TESLA INC,TSLA,0.325011
20200831,TESLA INC,TSLA,0.741452
20200930,TESLA INC,TSLA,-0.139087
20201030,TESLA INC,TSLA,-0.095499
20201130,TESLA INC,TSLA,0.462736
20201231,TESLA INC,TSLA,0.243252
20210129,TESLA INC,TSLA,0.124506
20210226,TESLA INC,TSLA,-0.148740
20210331,TESLA INC,TSLA,-0.011207
20210430,TESLA INC,TSLA,0.062147
20210528,TESLA INC,TSLA,-0.118713
20210630,TESLA INC,TSLA,0.087137
20210730,TESLA INC,TSLA,0.011034
20210831,TESLA INC,TSLA,0.070605
20210930,TESLA INC,TSLA,0.054042
20211029,TESLA INC,TSLA,0.436530
20211130,TESLA INC,TSLA,0.027612
20211231,TESLA INC,TSLA,-0.076855
20220131,TESLA INC,TSLA,-0.113609
20220228,TESLA INC,TSLA,-0.070768
20220331,TESLA INC,TSLA,0.238009
20220429,TESLA INC,TSLA,-0.191945
20220531,TESLA INC,TSLA,-0.129197
20220630,TESLA INC,TSLA,-0.111888
20220729,TESLA INC,TSLA,0.323765
20220831,TESLA INC,TSLA,-0.072489
20220930,TESLA INC,TSLA,-0.037589
20221031,TESLA INC,TSLA,-0.142168
20221130,TESLA INC,TSLA,-0.144326
20221230,TESLA INC,TSLA,-0.367334
